project,release,class,loc,churn,loc_added,fan_out,revisions,max_churn,max_loc_added,avg_churn,avg_loc_added,fan_in_total,loc_touched_total,revisions_density,ns,age,weighted_age,nauth,nfix,ndev,bug_density,fix,code_smells,buggy
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\security\auth\IAuthorizer.java,6,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,4,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\security\auth\ITransportPlugin.java,13,0,0,4,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,3,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\security\auth\ReqContext.java,53,0,0,1,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,12,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\security\auth\SaslTransportPlugin.java,89,0,0,14,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,6,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\security\auth\SimpleTransportPlugin.java,65,0,0,14,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,6,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\security\auth\ThriftClient.java,49,0,0,8,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,9,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\security\auth\ThriftServer.java,45,0,0,5,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,8,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\security\auth\authorizer\DenyAuthorizer.java,20,0,0,5,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,2,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\security\auth\authorizer\NoopAuthorizer.java,20,0,0,5,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,2,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\security\auth\digest\ClientCallbackHandler.java,72,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,5,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\security\auth\digest\DigestSaslTransportPlugin.java,38,0,0,9,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,3,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\security\auth\digest\ServerCallbackHandler.java,80,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,3,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\security\serialization\BlowfishTupleSerializer.java,53,0,0,10,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,9,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\serialization\DefaultKryoFactory.java,37,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,3,NO
